Generation 36 | Average Generation Fitness: 0.7905392216736739 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 37 | Average Generation Fitness: 0.794385911954896 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 38 | Average Generation Fitness: 0.7954662870729406 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 39 | Average Generation Fitness: 0.7910895680314165 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 40 | Average Generation Fitness: 0.7964740467011593 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 41 | Average Generation Fitness: 0.7915615681645913 | Best Fitness: 0.8333177015732232 | Population Length: 200
Generation 42 | Average Generation Fitness: 0.7930376355122042 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 43 | Average Generation Fitness: 0.7985810543037342 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 44 | Average Generation Fitness: 0.795181108456791 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 45 | Average Generation Fitness: 0.7943843563798602 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 46 | Average Generation Fitness: 0.796155435092145 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 47 | Average Generation Fitness: 0.7967603668616486 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 48 | Average Generation Fitness: 0.794500025761077 | Best Fitness: 0.8333223720311506 | Population Length: 200
Generation 49 | Average Generation Fitness: 0.7931037457451449 | Best Fitness: 0.8333239212166769 | Population Length: 200
Generation 50 | Average Generation Fitness: 0.7962824387224401 | Best Fitness: 0.8333239212166769 | Population Length: 200
Generation 51 | Average Generation Fitness: 0.7956369207227934 | Best Fitness: 0.8333239212166769 | Population Length: 200
Generation 52 | Average Generation Fitness: 0.7949533014906912 | Best Fitness: 0.8333239212166769 | Population Length: 200
Generation 1 | Average Generation Fitness: 0.7673421448154221 | Best Fitness: 0.8110379264412375 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.77840250142896 | Best Fitness: 0.8205068182285414 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7857321497071957 | Best Fitness: 0.8230789874271996 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7876454014746038 | Best Fitness: 0.8250023224633427 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7858052090978741 | Best Fitness: 0.8254993230494653 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.7903580718278309 | Best Fitness: 0.8266871312973202 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.789041229261853 | Best Fitness: 0.8288035178548974 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.791817691255333 | Best Fitness: 0.8300576176740819 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7937790391908112 | Best Fitness: 0.8306480431019813 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7903798366047 | Best Fitness: 0.831119051540065 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7922262304290907 | Best Fitness: 0.8313312932274285 | Population Length: 200
